Age,Gender,Purchase Amount (USD),Review Rating,Subscription Status,Discount Applied,Previous Purchases,Item Purchased,Category,Location,Size,Color,Season,Payment Method,Shipping Type,Preferred Payment Method,Frequency of Purchases
55,1,53,3.1,1,1,14,1,0,15,0,6,2,1,0,4,2
19,1,64,3.1,1,1,2,22,0,17,0,11,2,0,0,0,2
50,1,73,3.1,1,1,23,10,0,19,1,11,0,0,1,1,5
21,1,90,3.5,1,1,49,13,1,37,0,11,0,3,2,3,5
45,1,49,2.7,1,1,31,1,0,35,0,20,0,0,1,3,0
46,1,20,2.9,1,1,14,19,1,48,0,22,1,4,3,4,5
63,1,85,3.2,1,1,49,15,0,24,0,6,0,2,1,0,4
27,1,34,3.2,1,1,19,17,0,16,0,3,2,2,1,1,5
26,1,97,2.6,1,1,8,3,2,46,0,18,1,4,0,4,0
57,1,31,4.8,1,1,4,6,0,23,0,15,0,3,0,0,4
53,1,34,4.1,1,1,26,16,1,2,0,16,0,1,4,0,0
30,1,68,4.9,1,1,10,17,0,9,1,12,2,3,4,0,2
61,1,72,4.5,1,1,37,3,2,6,0,5,2,3,0,4,2
65,1,51,4.7,1,1,31,4,0,27,0,21,0,2,0,3,5
64,1,53,4.7,1,1,34,3,2,30,0,19,2,3,1,2,5
64,1,81,2.8,1,1,8,18,0,37,0,19,2,1,4,3,3
25,1,36,4.1,1,1,44,21,0,0,1,6,0,4,2,2,0
53,1,38,4.7,1,1,36,4,0,22,2,9,2,2,0,4,4
52,1,48,4.6,1,1,17,22,0,24,1,0,1,0,1,0,5
66,1,90,3.3,1,1,46,12,0,37,0,7,1,4,3,2,0
21,1,51,2.8,1,1,50,12,0,16,0,0,2,1,0,0,1
31,1,62,4.1,1,1,22,12,0,31,0,3,2,1,4,2,4
56,1,37,3.2,1,1,32,12,0,3,0,14,1,0,4,2,0
31,1,88,4.4,1,1,40,12,0,34,2,22,2,1,0,1,5
18,1,22,2.9,1,1,16,9,2,7,0,7,0,0,4,2,5
18,1,25,3.6,1,1,14,8,0,41,0,18,1,0,0,3,0
38,1,20,3.6,1,1,13,11,0,26,0,17,0,0,2,1,0
56,1,56,5.0,1,1,7,17,0,15,0,4,1,2,2,0,1
54,1,94,4.4,1,1,41,6,0,31,0,6,0,2,1,3,1
31,1,48,4.1,1,1,14,4,0,48,1,0,0,4,4,1,5
57,1,31,4.7,1,1,16,11,0,31,0,0,2,0,3,1,3
33,1,79,4.7,1,1,45,4,0,46,0,2,2,4,4,4,3
36,1,67,4.9,1,1,37,9,2,14,0,18,1,0,1,4,0
54,1,38,3.3,1,1,45,12,0,4,0,7,1,4,4,0,4
36,1,91,4.6,1,1,38,23,0,32,0,21,0,2,0,3,4
54,1,33,4.0,1,1,48,1,0,19,0,4,1,0,0,1,0
35,1,69,4.6,1,1,44,23,0,11,0,11,2,0,1,3,2
35,1,45,2.8,1,1,10,10,0,12,1,4,1,2,4,3,5
29,1,37,3.7,1,1,44,4,0,7,0,17,2,2,0,4,1
70,1,60,4.2,1,1,18,12,0,1,1,20,1,0,0,1,3
69,1,76,4.6,1,1,31,6,0,16,0,0,2,3,2,2,4
67,1,39,4.5,1,1,40,14,0,0,0,13,0,0,3,4,0
20,1,100,4.1,1,1,15,3,2,40,0,0,0,0,1,3,0
25,1,69,3.7,1,1,19,14,0,33,0,9,0,3,4,3,2
39,1,53,4.6,1,1,45,7,0,15,1,18,1,0,1,3,5
50,1,21,2.9,1,1,25,20,0,40,2,8,0,4,0,3,0
57,1,43,2.9,1,1,45,15,0,3,0,22,1,4,4,0,4
55,1,54,4.5,1,1,36,11,0,24,0,3,2,2,1,0,5
42,1,55,2.7,1,1,38,15,0,26,0,13,1,2,4,0,3
68,1,30,4.6,1,1,34,8,0,28,1,8,0,0,2,2,0
49,1,28,3.7,1,1,39,1,0,18,0,17,0,0,4,2,0
59,1,59,4.7,1,1,7,18,0,43,2,6,2,3,0,1,4
42,1,20,2.6,1,1,26,23,0,0,0,7,1,1,1,1,5
29,1,24,3.9,1,1,35,18,0,22,1,14,2,2,2,1,5
47,1,94,4.2,1,1,35,3,2,29,0,2,1,0,2,2,0
40,1,28,3.0,1,1,49,9,2,38,0,9,2,4,0,1,0
41,1,73,4.7,1,1,46,0,0,22,2,2,1,3,4,1,5
21,1,64,4.4,1,1,17,3,2,46,0,22,1,3,4,2,2
69,1,54,4.2,1,1,29,8,0,23,0,3,1,1,1,4,3
63,1,79,4.6,1,1,4,0,0,16,0,23,0,2,3,2,5
50,1,37,4.0,1,1,17,22,0,10,0,2,1,1,0,0,5
55,1,68,4.7,1,1,21,14,0,41,0,13,2,0,4,1,1
30,1,21,3.8,1,1,31,19,1,22,1,10,0,1,1,1,2
33,1,79,2.7,1,1,43,21,0,1,0,9,2,1,0,1,5
65,1,83,4.8,1,1,18,2,1,0,1,7,0,3,3,2,2
65,1,36,4.8,1,1,44,0,0,28,0,16,0,1,0,4,1
31,1,94,4.7,1,1,3,1,0,36,1,10,2,0,0,4,1
45,1,33,4.4,1,1,49,3,2,5,0,6,2,3,4,2,3
57,1,46,3.9,1,1,21,6,0,42,0,18,1,1,2,0,1
48,1,70,4.4,1,1,5,0,0,40,1,4,1,1,0,0,5
22,1,29,4.2,1,1,32,0,0,0,0,10,0,1,0,2,1
36,1,48,2.9,1,1,34,4,0,44,0,5,1,2,0,0,0
18,1,26,2.9,1,1,21,4,0,8,0,12,2,2,4,0,1
48,1,85,2.7,1,1,43,12,0,9,0,19,0,2,1,0,0
49,1,58,4.5,1,1,3,5,0,12,0,21,0,3,0,0,3
64,1,85,2.7,1,1,21,14,0,42,0,1,1,2,1,1,0
50,1,43,4.2,1,1,32,7,0,6,1,19,1,0,1,4,3
22,1,53,3.3,1,1,36,4,0,6,0,5,1,2,2,2,2
50,1,91,4.7,1,1,50,18,0,25,0,11,0,4,1,4,2
38,1,96,2.6,1,1,43,9,2,13,0,12,2,0,0,0,1
19,1,72,3.3,1,1,24,13,1,30,2,1,1,1,4,1,1
67,1,96,2.6,1,1,36,16,1,44,0,11,1,3,0,1,1
19,1,28,4.0,1,1,21,12,0,8,1,12,0,0,0,1,1
36,1,40,4.1,1,1,34,4,0,41,0,20,1,2,3,0,5
52,1,32,4.4,1,1,42,3,2,1,1,14,0,0,3,0,1
53,1,95,4.5,1,1,2,21,0,29,0,3,2,1,2,2,0
24,1,41,3.7,1,1,47,8,0,26,0,15,0,4,0,0,0
52,1,53,3.7,1,1,44,16,1,33,0,7,0,2,0,2,2
33,1,47,3.5,1,1,35,23,0,48,0,13,0,1,1,1,3
47,1,83,3.6,1,1,15,9,2,3,2,15,0,0,2,0,4
25,1,48,2.9,1,1,29,7,0,38,0,21,1,4,0,1,3
44,1,99,4.6,1,1,18,14,0,38,1,7,2,3,3,1,1
61,1,87,4.4,1,1,13,9,2,41,0,12,2,0,0,4,1
37,1,62,4.5,1,1,46,22,0,7,0,16,0,3,3,1,5
58,1,76,4.6,1,1,28,18,0,26,1,18,0,0,1,1,5
37,1,100,3.8,1,1,48,19,1,23,0,15,0,3,1,3,3
32,1,73,3.6,1,1,43,5,0,6,1,5,0,4,0,4,1
21,1,92,4.8,1,1,37,16,1,44,0,19,2,3,4,0,0
20,1,67,2.6,1,1,20,10,0,30,2,19,0,0,2,0,0
26,1,40,3.7,1,1,33,8,0,23,2,8,1,0,0,2,4
62,1,98,2.7,1,1,31,21,0,39,0,11,0,3,0,0,2
27,1,85,4.6,1,1,50,3,2,32,2,22,0,4,0,1,0
51,1,67,4.8,1,1,35,20,0,34,0,21,2,1,2,1,4
54,1,89,4.0,1,1,22,2,1,46,0,17,2,2,2,4,0
55,1,24,4.4,1,1,1,21,0,27,0,15,0,0,0,3,3
69,1,96,3.6,1,1,4,0,0,30,0,3,0,0,2,0,0
64,1,35,3.7,1,1,31,9,2,21,0,22,1,0,3,1,3
28,1,67,3.1,1,1,46,19,1,18,0,12,2,0,2,3,2
70,1,79,3.4,1,1,32,20,0,24,0,16,0,0,2,0,0
58,1,85,2.6,1,1,43,23,0,0,0,21,0,0,2,0,2
56,1,26,4.0,1,1,26,0,0,30,0,0,1,0,3,4,2
26,1,75,5.0,1,1,9,0,0,19,0,16,1,3,1,1,0
37,1,65,4.3,1,1,28,5,0,7,0,17,0,1,1,3,0
44,1,54,3.1,1,1,20,7,0,28,0,11,2,2,2,3,4
70,1,95,3.7,1,1,9,3,2,19,1,1,1,4,4,0,5
53,1,94,3.8,1,1,48,18,0,48,0,6,0,0,3,2,1
55,1,86,3.4,1,1,12,16,1,44,1,1,0,3,1,4,0
50,1,32,4.6,1,1,29,13,1,39,0,23,1,0,0,0,2
50,1,45,4.8,1,1,27,22,0,15,0,13,0,0,0,0,0
38,1,76,4.3,1,1,44,3,2,48,0,13,0,2,0,0,0
64,1,84,4.0,1,1,32,7,0,46,0,17,1,3,0,0,0
19,1,72,4.2,1,1,11,17,0,44,0,12,2,0,3,0,2
40,1,40,4.8,1,1,44,0,0,45,0,2,0,1,0,0,2
57,1,89,3.1,1,1,46,22,0,16,0,2,0,2,1,0,5
44,1,86,3.1,1,1,50,22,0,26,0,6,0,3,2,3,0
49,1,54,3.6,1,1,45,17,0,3,0,8,2,0,2,4,1
43,1,36,3.9,1,1,48,17,0,22,0,15,0,0,4,0,1
24,1,89,4.8,1,1,26,22,0,22,0,6,2,4,2,1,5
20,1,32,4.7,1,1,21,14,0,3,0,5,0,4,3,1,2
24,1,67,4.2,1,1,49,4,0,36,2,12,1,0,0,3,0
44,1,39,3.7,1,1,13,14,0,15,0,21,0,1,2,3,2
28,1,29,3.9,1,1,46,18,0,17,0,8,1,3,3,1,5
30,1,58,4.7,1,1,42,0,0,29,0,13,0,0,0,3,5
52,1,65,2.5,1,1,25,22,0,24,0,21,2,0,2,4,0
43,1,94,4.9,1,1,25,7,0,41,0,6,0,1,4,0,3
43,1,81,4.1,1,1,12,13,1,14,0,16,0,3,0,3,4
39,1,86,3.3,1,1,4,1,0,38,0,22,2,1,1,2,4
68,1,43,4.7,1,1,38,19,1,4,0,20,0,0,1,3,5
68,1,29,4.4,1,1,42,18,0,8,0,11,2,0,4,0,5
49,1,95,3.8,1,1,30,3,2,7,0,22,0,2,4,4,0
63,1,28,3.9,1,1,50,15,0,31,0,23,0,0,0,1,5
56,1,46,4.9,1,1,45,5,0,44,0,20,0,3,1,3,5
37,1,58,3.1,1,1,33,9,2,25,0,21,0,3,1,1,2
30,1,48,2.7,1,1,25,3,2,23,0,0,0,0,4,3,4
19,1,43,3.2,1,1,25,16,1,28,0,18,0,1,0,0,3
24,1,95,4.5,1,1,44,11,0,23,0,19,0,4,3,2,4
52,1,30,4.0,1,1,21,18,0,4,1,0,0,2,3,4,2
63,1,64,3.5,1,1,31,16,1,10,0,16,1,0,0,0,2
37,1,90,2.6,1,1,47,5,0,48,0,6,0,3,4,2,0
38,1,76,3.2,1,1,14,12,0,6,0,22,1,4,1,3,3
35,1,96,4.9,1,1,17,2,1,3,0,4,0,0,3,2,1
28,1,47,4.5,1,1,3,21,0,32,0,20,0,2,2,4,0
30,1,85,4.3,1,1,42,15,0,38,1,2,1,3,0,4,0
69,1,55,3.2,1,1,22,8,0,31,0,11,2,2,3,2,0
41,1,98,3.6,1,1,21,4,0,34,0,3,0,2,2,4,4
63,1,77,4.3,1,1,21,20,0,17,1,12,0,0,1,0,4
35,1,26,4.0,1,1,40,17,0,23,0,9,0,4,3,2,0
36,1,68,3.0,1,1,1,7,0,43,1,23,0,2,2,0,2
25,1,73,4.1,1,1,50,15,0,5,2,19,0,0,3,0,3
58,1,27,3.8,1,1,39,5,0,27,0,3,0,2,4,0,1
27,1,23,4.6,1,1,34,5,0,41,0,13,1,0,1,4,3
65,1,49,3.0,1,1,29,0,0,32,0,12,0,4,0,4,2
54,1,74,3.0,1,1,31,21,0,3,0,20,1,1,4,3,0
54,1,67,3.4,1,1,8,18,0,44,0,16,1,3,3,2,5
59,1,65,2.6,1,1,5,6,0,6,1,16,0,2,1,1,2
42,1,60,2.8,1,1,7,6,0,15,1,23,2,1,4,0,3
46,1,31,4.0,1,1,30,19,1,6,2,8,0,0,4,0,3
33,1,27,4.0,1,1,14,5,0,2,0,7,0,4,0,1,1
34,1,80,3.0,1,1,5,16,1,16,0,10,1,0,0,0,2
27,1,30,3.3,1,1,3,9,2,26,1,5,1,1,3,3,1
52,1,25,2.6,1,1,46,15,0,48,0,11,0,4,4,4,0
29,1,35,3.6,1,1,4,17,0,44,0,1,1,2,4,1,5
54,1,67,3.9,1,1,42,11,0,25,0,21,1,0,2,1,0
25,1,46,3.4,1,1,30,7,0,9,0,20,0,3,3,0,0
41,1,35,3.5,1,1,37,16,1,43,0,2,2,4,0,4,0
53,1,86,2.8,1,1,2,3,2,34,0,21,0,2,2,0,0
53,1,81,2.7,1,1,30,0,0,27,0,0,0,0,2,1,4
21,1,42,3.7,1,1,47,8,0,14,0,10,0,2,2,0,3
61,1,43,4.3,1,1,21,18,0,10,0,9,0,2,0,3,4
64,1,31,4.9,1,1,9,2,1,11,0,21,0,2,4,0,2
51,1,81,3.3,1,1,12,13,1,39,0,7,0,0,4,2,2
32,1,61,4.7,1,1,4,12,0,19,0,0,1,4,2,0,5
38,1,96,2.8,1,1,10,5,0,0,2,16,1,4,4,2,0
